S no.,Emp_ID,Name,DOB,Sex,Email,Address,Phone No.,Pay(in rs),Designation,Date of joining
1,65175,Addia Smyth,10/28/1985,F,asmythh@hubpages.com,947 Talisman Terrace,4131740184,87000,Finance,10/10/2005
2,41859,Adelaide Steljes,5/29/2000,M,asteljes29@soundcloud.com,76856 Namekagon Alley,1302480774,176000,Consumer Durables,10/31/2005
3,62046,Aguste Keam,11/6/1986,M,akeam1d@xing.com,78 Sherman Junction,480161763,180000,Finance,5/19/2009
4,84905,Alistair Low,9/16/1989,M,alow1z@alibaba.com,4 Morning Avenue,974406384,113000,Consumer Services,1/12/2007
5,46811,Alphonso Broxholme,1/19/1984,F,abroxholmex@hud.gov,6692 Erie Trail,6934869583,160000,Finance,8/15/2001
6,79780,Andie Meader,11/18/1996,M,ameader2e@hp.com,47702 Katie Way,3833425482,153000,Engineers,2/12/2011
7,61964,Angelique Goodere,8/14/1985,F,agoodere1v@creativecommons.org,1350 Goodland Crossing,9687618566,68000,Consumer Non-Durables,1/14/2014
8,49093,Arline Baelde,6/9/1986,F,abaelde2i@nbcnews.com,97719 Ryan Circle,7774794301,167000,Basic Industries,10/26/2013
9,65852,Barbra Milroy,10/26/1989,M,bmilroyq@issuu.com,49375 Menomonie Pass,2510480324,154000,Consumer Services,1/12/2003
10,80455,Bernardo Tosh,9/1/1994,F,btosh21@arstechnica.com,827 Shopko Circle,9212211518,67000,Engineers,4/23/2013
11,68669,Bo Lazonby,4/7/1994,M,blazonby2r@auda.org.au,8216 Hayes Hill,6977892552,102000,Energy,4/5/2010
12,71441,Boycey Thorwarth,8/29/2000,F,bthorwarth1m@lulu.com,05 Graedel Road,9790634870,84000,Finance,12/7/2004
13,93235,Byrle Baack,9/5/1996,M,bbaack1a@reverbnation.com,1585 Sachtjen Alley,9472580343,167000,Health Care,4/11/2003
14,36813,Carley Heineking,5/26/1990,M,cheineking2b@samsung.com,3 Golden Leaf Place,3427671550,100000,Health Care,8/10/2007
15,71972,Cary Upchurch,10/25/1984,F,cupchurch2n@themeforest.net,3761 Drewry Park,1619602490,56000,Health Care,6/9/2009
16,89021,Cate Heino,8/28/1990,M,cheino20@youtube.com,1 Judy Trail,1202418031,78000,Consumer Services,9/29/2015
